"total","foaf:name @en", "0.0425531914893617", "e foaf:name @en", "SoccerTournament", "Coherence=0.0425531914893617 condAB=1.0 condBA=0.0444444444444444 supA=6.0 supB=135.0", "JJ", "Coherence", "e", "http://xmlns.com/foaf/0.1/name", """@en", "dbo:SoccerTournament in c_e and 'total of 16' in l_e(c,p,os) => (e, foaf:name, ""@en) in G", 
"total","foaf:name Cypriot Cup@en", "0.072289156626506", "e foaf:name Cypriot Cup@en", "SoccerTournament", "Coherence=0.072289156626506 condAB=1.0 condBA=0.0779220779220779 supA=6.0 supB=77.0", "JJ", "Coherence", "e", "http://xmlns.com/foaf/0.1/name", ""Cypriot Cup"@en", "dbo:SoccerTournament in c_e and 'A total of 16' in l_e(c,p,os) => (e, foaf:name, "Cypriot Cup"@en) in G", 
"total","foaf:name @en", "0.0354609929078014", "e foaf:name @en", "SoccerTournament", "Coherence=0.0354609929078014 condAB=0.833333333333333 condBA=0.037037037037037 supA=6.0 supB=135.0", "JJ", "Coherence", "e", "http://xmlns.com/foaf/0.1/name", """@en", "dbo:SoccerTournament in c_e and 'total of 28' in l_e(c,p,os) => (e, foaf:name, ""@en) in G", 
"total","foaf:name Cypriot Cup@en", "0.072289156626506", "e foaf:name Cypriot Cup@en", "SoccerTournament", "Coherence=0.072289156626506 condAB=1.0 condBA=0.0779220779220779 supA=6.0 supB=77.0", "JJ", "Coherence", "e", "http://xmlns.com/foaf/0.1/name", ""Cypriot Cup"@en", "dbo:SoccerTournament in c_e and 'A total of 28' in l_e(c,p,os) => (e, foaf:name, "Cypriot Cup"@en) in G", 
"total","foaf:name @en", "0.0559440559440559", "e foaf:name @en", "SoccerTournament", "Coherence=0.0559440559440559 condAB=1.0 condBA=0.0592592592592593 supA=8.0 supB=135.0", "JJ", "Coherence", "e", "http://xmlns.com/foaf/0.1/name", """@en", "dbo:SoccerTournament in c_e and 'total of 50' in l_e(c,p,os) => (e, foaf:name, ""@en) in G", 
"total","foaf:name Cypriot Cup@en", "0.0941176470588235", "e foaf:name Cypriot Cup@en", "SoccerTournament", "Coherence=0.0941176470588235 condAB=1.0 condBA=0.103896103896104 supA=8.0 supB=77.0", "JJ", "Coherence", "e", "http://xmlns.com/foaf/0.1/name", ""Cypriot Cup"@en", "dbo:SoccerTournament in c_e and 'A total of 50' in l_e(c,p,os) => (e, foaf:name, "Cypriot Cup"@en) in G", 
"total","foaf:name @en", "0.0425531914893617", "e foaf:name @en", "SoccerTournament", "Coherence=0.0425531914893617 condAB=1.0 condBA=0.0444444444444444 supA=6.0 supB=135.0", "JJ", "Coherence", "e", "http://xmlns.com/foaf/0.1/name", """@en", "dbo:SoccerTournament in c_e and 'total of 54' in l_e(c,p,os) => (e, foaf:name, ""@en) in G", 
"total","foaf:name Cypriot Cup@en", "0.072289156626506", "e foaf:name Cypriot Cup@en", "SoccerTournament", "Coherence=0.072289156626506 condAB=1.0 condBA=0.0779220779220779 supA=6.0 supB=77.0", "JJ", "Coherence", "e", "http://xmlns.com/foaf/0.1/name", ""Cypriot Cup"@en", "dbo:SoccerTournament in c_e and 'A total of 54' in l_e(c,p,os) => (e, foaf:name, "Cypriot Cup"@en) in G", 
"total","foaf:name @en", "0.0492957746478873", "e foaf:name @en", "SoccerTournament", "Coherence=0.0492957746478873 condAB=1.0 condBA=0.0518518518518519 supA=7.0 supB=135.0", "JJ", "Coherence", "e", "http://xmlns.com/foaf/0.1/name", """@en", "dbo:SoccerTournament in c_e and 'total of 8' in l_e(c,p,os) => (e, foaf:name, ""@en) in G", 
"total","foaf:name Cypriot Cup@en", "0.0714285714285714", "e foaf:name Cypriot Cup@en", "SoccerTournament", "Coherence=0.0714285714285714 condAB=0.857142857142857 condBA=0.0779220779220779 supA=7.0 supB=77.0", "JJ", "Coherence", "e", "http://xmlns.com/foaf/0.1/name", ""Cypriot Cup"@en", "dbo:SoccerTournament in c_e and 'A total of 8' in l_e(c,p,os) => (e, foaf:name, "Cypriot Cup"@en) in G", 
"","dbp:branch United_States_Army", "0.00613496932515337", "e dbp:branch United_States_Army", "MilitaryPerson", "Coherence=0.00613496932515337 condAB=1.0 condBA=0.00617283950617284 supA=5.0 supB=810.0", "JJ", "Coherence", "e", "http://dbpedia.org/property/branch", "http://dbpedia.org/resource/United_States_Army", "dbo:MilitaryPerson in c_e and '1824 â' in l_e(c,p,so) => (e, dbp:branch, dbr:United_States_Army) in G", 
"","dbp:allegiance United_States", "0.00493583415597236", "e dbp:allegiance United_States", "MilitaryPerson", "Coherence=0.00493583415597236 condAB=0.833333333333333 condBA=0.00496524329692155 supA=6.0 supB=1007.0", "JJ", "Coherence", "e", "http://dbpedia.org/property/allegiance", "http://dbpedia.org/resource/United_States", "dbo:MilitaryPerson in c_e and '1831 â' in l_e(c,p,so) => (e, dbp:allegiance, dbr:United_States) in G", 
