"american","dbo:occupation Photographer", "0.24", "e dbo:occupation Photographer", "Photographer", "Coherence=0.24 condAB=0.857142857142857 condBA=0.333333333333333 supA=7.0 supB=18.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/occupation", "http://dbpedia.org/resource/Photographer", "dbo:Photographer in c_e and 'an American' in l_e(c,p,so) ", 
"birmingham","dbp:birthPlace Birmingham", "0.258064516129032", "e dbp:birthPlace Birmingham", "Cricketer", "Coherence=0.258064516129032 condAB=1.0 condBA=0.347826086956522 supA=8.0 supB=23.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Birmingham", "dbo:Cricketer in c_e and 'at Birmingham' in l_e(c,p,so) ", 
"birmingham","dbp:club Warwickshire_County_Cricket_Club", "0.0457516339869281", "e dbp:club Warwickshire_County_Cricket_Club", "Cricketer", "Coherence=0.0457516339869281 condAB=1.0 condBA=0.0479452054794521 supA=7.0 supB=146.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Warwickshire_County_Cricket_Club", "dbo:Cricketer in c_e and 'at Birmingham' in l_e(c,p,so) ", 
"board","dbp:birthPlace England", "0.00502092050209205", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00502092050209205 condAB=1.0 condBA=0.00504625735912532 supA=6.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and 'Board in' in l_e(c,p,os) ", 
"board","dbp:column List_A_cricket", "0.00787992495309568", "e dbp:column List_A_cricket", "Cricketer", "Coherence=0.00787992495309568 condAB=1.0 condBA=0.00794251134644478 supA=21.0 supB=2644.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/List_A_cricket", "dbo:Cricketer in c_e and 'Board in' in l_e(c,p,so) ", 
"board","dbp:column List_A_cricket", "0.002640513013957", "e dbp:column List_A_cricket", "Cricketer", "Coherence=0.002640513013957 condAB=1.0 condBA=0.00264750378214826 supA=7.0 supB=2644.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/List_A_cricket", "dbo:Cricketer in c_e and 'the Board in 4' in l_e(c,p,so) ", 
"board_list","dbp:birthPlace England", "0.00502092050209205", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00502092050209205 condAB=1.0 condBA=0.00504625735912532 supA=6.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and 'Board in List A' in l_e(c,p,os) ", 
"board_list_cricket","dbp:birthPlace England", "0.00502092050209205", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00502092050209205 condAB=1.0 condBA=0.00504625735912532 supA=6.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and 'Board in List A cricket' in l_e(c,p,os) ", 
"boland","dbp:birthPlace South_Africa", "0.0344827586206897", "e dbp:birthPlace South_Africa", "Cricketer", "Coherence=0.0344827586206897 condAB=1.0 condBA=0.0357142857142857 supA=5.0 supB=140.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/South_Africa", "dbo:Cricketer in c_e and 'for Boland' in l_e(c,p,os) ", 
"born___november","dbp:country India@en", "0.0116279069767442", "e dbp:country India@en", "Cricketer", "Coherence=0.0116279069767442 condAB=0.666666666666667 condBA=0.0118343195266272 supA=9.0 supB=507.0", "NN", "Coherence", "e", "http://dbpedia.org/property/country", ""India"@en", "dbo:Cricketer in c_e and 'born 5 November' in l_e(c,p,so) ", 
"born_birmingham","dbp:birthPlace Warwickshire", "0.153846153846154", "e dbp:birthPlace Warwickshire", "Cricketer", "Coherence=0.153846153846154 condAB=1.0 condBA=0.181818181818182 supA=8.0 supB=44.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Warwickshire", "dbo:Cricketer in c_e and 'born at Birmingham' in l_e(c,p,so) ", 
"born_birmingham","dbp:birthPlace England", "0.00668337510442774", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00668337510442774 condAB=1.0 condBA=0.00672834314550042 supA=8.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and 'born at Birmingham' in l_e(c,p,so) ", 
"born_birmingham","dbp:birthPlace Birmingham", "0.258064516129032", "e dbp:birthPlace Birmingham", "Cricketer", "Coherence=0.258064516129032 condAB=1.0 condBA=0.347826086956522 supA=8.0 supB=23.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Birmingham", "dbo:Cricketer in c_e and 'was born at Birmingham' in l_e(c,p,so) ", 
"born_birmingham","dbp:club Warwickshire_County_Cricket_Club", "0.0457516339869281", "e dbp:club Warwickshire_County_Cricket_Club", "Cricketer", "Coherence=0.0457516339869281 condAB=1.0 condBA=0.0479452054794521 supA=7.0 supB=146.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Warwickshire_County_Cricket_Club", "dbo:Cricketer in c_e and 'was born at Birmingham' in l_e(c,p,so) ", 
"born_birmingham","dbp:birthPlace Warwickshire", "0.153846153846154", "e dbp:birthPlace Warwickshire", "Cricketer", "Coherence=0.153846153846154 condAB=1.0 condBA=0.181818181818182 supA=8.0 supB=44.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Warwickshire", "dbo:Cricketer in c_e and ' was born at Birmingham, ' in l_e(c,p,so) ", 
"born_birmingham","dbp:birthPlace England", "0.00668337510442774", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00668337510442774 condAB=1.0 condBA=0.00672834314550042 supA=8.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and ' was born at Birmingham, ' in l_e(c,p,so) ", 
"born_birmingham","dbp:birthPlace Birmingham", "0.258064516129032", "e dbp:birthPlace Birmingham", "Cricketer", "Coherence=0.258064516129032 condAB=1.0 condBA=0.347826086956522 supA=8.0 supB=23.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Birmingham", "dbo:Cricketer in c_e and ' was born at Birmingham, ' in l_e(c,p,so) ", 
"born_birmingham","dbp:club Warwickshire_County_Cricket_Club", "0.0457516339869281", "e dbp:club Warwickshire_County_Cricket_Club", "Cricketer", "Coherence=0.0457516339869281 condAB=1.0 condBA=0.0479452054794521 supA=7.0 supB=146.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Warwickshire_County_Cricket_Club", "dbo:Cricketer in c_e and ' was born at Birmingham, ' in l_e(c,p,so) ", 
"born_brighton","dbp:column First-class_cricket", "9.57670944263551E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57670944263551E-4 condAB=1.0 condBA=9.58588957055215E-4 supA=5.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and 'born at Brighton' in l_e(c,p,so) ", 
"born_brighton","dbo:deathPlace Sussex", "0.0546875", "e dbo:deathPlace Sussex", "Cricketer", "Coherence=0.0546875 condAB=1.0 condBA=0.0578512396694215 supA=7.0 supB=121.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/deathPlace", "http://dbpedia.org/resource/Sussex", "dbo:Cricketer in c_e and 'was born at Brighton' in l_e(c,p,so) ", 
"born_brighton","dbo:birthPlace Brighton", "0.290322580645161", "e dbo:birthPlace Brighton", "Cricketer", "Coherence=0.290322580645161 condAB=1.0 condBA=0.409090909090909 supA=9.0 supB=22.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/birthPlace", "http://dbpedia.org/resource/Brighton", "dbo:Cricketer in c_e and 'born at Brighton' in l_e(c,p,so) ", 
"born_brighton","dbp:club Sussex_County_Cricket_Club", "0.0288461538461538", "e dbp:club Sussex_County_Cricket_Club", "Cricketer", "Coherence=0.0288461538461538 condAB=0.857142857142857 condBA=0.0298507462686567 supA=7.0 supB=201.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Sussex_County_Cricket_Club", "dbo:Cricketer in c_e and 'born at Brighton' in l_e(c,p,so) ", 
"born_brighton","dbo:deathPlace Sussex", "0.0546875", "e dbo:deathPlace Sussex", "Cricketer", "Coherence=0.0546875 condAB=1.0 condBA=0.0578512396694215 supA=7.0 supB=121.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/deathPlace", "http://dbpedia.org/resource/Sussex", "dbo:Cricketer in c_e and ' was born at Brighton, ' in l_e(c,p,so) ", 
"born_brighton","dbo:birthPlace Brighton", "0.290322580645161", "e dbo:birthPlace Brighton", "Cricketer", "Coherence=0.290322580645161 condAB=1.0 condBA=0.409090909090909 supA=9.0 supB=22.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/birthPlace", "http://dbpedia.org/resource/Brighton", "dbo:Cricketer in c_e and ' was born at Brighton, ' in l_e(c,p,so) ", 
"born_brighton","dbp:club Sussex_County_Cricket_Club", "0.0288461538461538", "e dbp:club Sussex_County_Cricket_Club", "Cricketer", "Coherence=0.0288461538461538 condAB=0.857142857142857 condBA=0.0298507462686567 supA=7.0 supB=201.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Sussex_County_Cricket_Club", "dbo:Cricketer in c_e and ' was born at Brighton, ' in l_e(c,p,so) ", 
"born_brighton_sussex","dbp:column First-class_cricket", "9.57670944263551E-4", "e dbp:column First-class_cricket", "Cricketer", "Coherence=9.57670944263551E-4 condAB=1.0 condBA=9.58588957055215E-4 supA=5.0 supB=5216.0", "NN", "Coherence", "e", "http://dbpedia.org/property/column", "http://dbpedia.org/resource/First-class_cricket", "dbo:Cricketer in c_e and 'was born at Brighton Sussex' in l_e(c,p,so) ", 
"born_dartford","dbp:birthPlace Kent", "0.0588235294117647", "e dbp:birthPlace Kent", "Cricketer", "Coherence=0.0588235294117647 condAB=1.0 condBA=0.0625 supA=5.0 supB=80.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Kent", "dbo:Cricketer in c_e and 'was born at Dartford' in l_e(c,p,so) ", 
"born_dartford","dbp:birthPlace Dartford", "0.357142857142857", "e dbp:birthPlace Dartford", "Cricketer", "Coherence=0.357142857142857 condAB=1.0 condBA=0.555555555555556 supA=5.0 supB=9.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Dartford", "dbo:Cricketer in c_e and 'was born at Dartford' in l_e(c,p,so) ", 
"born_eastbourne","dbo:birthPlace Sussex", "0.045045045045045", "e dbo:birthPlace Sussex", "Cricketer", "Coherence=0.045045045045045 condAB=1.0 condBA=0.0471698113207547 supA=5.0 supB=106.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/birthPlace", "http://dbpedia.org/resource/Sussex", "dbo:Cricketer in c_e and 'was born at Eastbourne' in l_e(c,p,so) ", 
"born_eastbourne","dbo:birthPlace Eastbourne", "0.294117647058824", "e dbo:birthPlace Eastbourne", "Cricketer", "Coherence=0.294117647058824 condAB=1.0 condBA=0.416666666666667 supA=5.0 supB=12.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/birthPlace", "http://dbpedia.org/resource/Eastbourne", "dbo:Cricketer in c_e and 'born at Eastbourne' in l_e(c,p,so) ", 
"born_eastbourne","dbo:birthPlace Sussex", "0.045045045045045", "e dbo:birthPlace Sussex", "Cricketer", "Coherence=0.045045045045045 condAB=1.0 condBA=0.0471698113207547 supA=5.0 supB=106.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/birthPlace", "http://dbpedia.org/resource/Sussex", "dbo:Cricketer in c_e and ' was born at Eastbourne, ' in l_e(c,p,so) ", 
"born_eastbourne","dbo:birthPlace Eastbourne", "0.294117647058824", "e dbo:birthPlace Eastbourne", "Cricketer", "Coherence=0.294117647058824 condAB=1.0 condBA=0.416666666666667 supA=5.0 supB=12.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/birthPlace", "http://dbpedia.org/resource/Eastbourne", "dbo:Cricketer in c_e and ' was born at Eastbourne, ' in l_e(c,p,so) ", 
"born_kensington","dbo:birthPlace Kensington", "0.147058823529412", "e dbo:birthPlace Kensington", "Cricketer", "Coherence=0.147058823529412 condAB=1.0 condBA=0.172413793103448 supA=5.0 supB=29.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/birthPlace", "http://dbpedia.org/resource/Kensington", "dbo:Cricketer in c_e and 'born at Kensington' in l_e(c,p,so) ", 
"born_kensington","dbo:birthPlace London", "0.0308641975308642", "e dbo:birthPlace London", "Cricketer", "Coherence=0.0308641975308642 condAB=1.0 condBA=0.0318471337579618 supA=5.0 supB=157.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/birthPlace", "http://dbpedia.org/resource/London", "dbo:Cricketer in c_e and 'was born at Kensington' in l_e(c,p,so) ", 
"born_kensington","dbo:birthPlace Kensington", "0.147058823529412", "e dbo:birthPlace Kensington", "Cricketer", "Coherence=0.147058823529412 condAB=1.0 condBA=0.172413793103448 supA=5.0 supB=29.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/birthPlace", "http://dbpedia.org/resource/Kensington", "dbo:Cricketer in c_e and ' was born at Kensington, ' in l_e(c,p,so) ", 
"born_kensington","dbo:birthPlace London", "0.0308641975308642", "e dbo:birthPlace London", "Cricketer", "Coherence=0.0308641975308642 condAB=1.0 condBA=0.0318471337579618 supA=5.0 supB=157.0", "NN", "Coherence", "e", "http://dbpedia.org/ontology/birthPlace", "http://dbpedia.org/resource/London", "dbo:Cricketer in c_e and ' was born at Kensington, ' in l_e(c,p,so) ", 
"born_leicester","dbp:birthPlace Leicestershire", "0.18", "e dbp:birthPlace Leicestershire", "Cricketer", "Coherence=0.18 condAB=1.0 condBA=0.219512195121951 supA=9.0 supB=41.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Leicestershire", "dbo:Cricketer in c_e and 'born in Leicester' in l_e(c,p,so) ", 
"born_leicester","dbp:birthPlace England", "0.00751252086811352", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00751252086811352 condAB=1.0 condBA=0.00756938603868797 supA=9.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and 'born in Leicester' in l_e(c,p,so) ", 
"born_leicester","dbp:birthPlace Leicester", "0.294117647058824", "e dbp:birthPlace Leicester", "Cricketer", "Coherence=0.294117647058824 condAB=1.0 condBA=0.416666666666667 supA=10.0 supB=24.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Leicester", "dbo:Cricketer in c_e and 'born at Leicester' in l_e(c,p,so) ", 
"born_leicester","dbp:club Leicestershire_County_Cricket_Club", "0.0592592592592593", "e dbp:club Leicestershire_County_Cricket_Club", "Cricketer", "Coherence=0.0592592592592593 condAB=1.0 condBA=0.062992125984252 supA=8.0 supB=127.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Leicestershire_County_Cricket_Club", "dbo:Cricketer in c_e and 'born at Leicester' in l_e(c,p,so) ", 
"born_leicester","dbp:birthPlace Leicestershire", "0.18", "e dbp:birthPlace Leicestershire", "Cricketer", "Coherence=0.18 condAB=1.0 condBA=0.219512195121951 supA=9.0 supB=41.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Leicestershire", "dbo:Cricketer in c_e and ' was born in Leicester, ' in l_e(c,p,so) ", 
"born_leicester","dbp:birthPlace England", "0.00751252086811352", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00751252086811352 condAB=1.0 condBA=0.00756938603868797 supA=9.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and ' was born in Leicester, ' in l_e(c,p,so) ", 
"born_leicester","dbp:birthPlace Leicester", "0.294117647058824", "e dbp:birthPlace Leicester", "Cricketer", "Coherence=0.294117647058824 condAB=1.0 condBA=0.416666666666667 supA=10.0 supB=24.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Leicester", "dbo:Cricketer in c_e and ' was born at Leicester, ' in l_e(c,p,so) ", 
"born_leicester","dbp:club Leicestershire_County_Cricket_Club", "0.0592592592592593", "e dbp:club Leicestershire_County_Cricket_Club", "Cricketer", "Coherence=0.0592592592592593 condAB=1.0 condBA=0.062992125984252 supA=8.0 supB=127.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Leicestershire_County_Cricket_Club", "dbo:Cricketer in c_e and ' was born at Leicester, ' in l_e(c,p,so) ", 
"born_liverpool","dbp:birthPlace Lancashire", "0.0684931506849315", "e dbp:birthPlace Lancashire", "Cricketer", "Coherence=0.0684931506849315 condAB=1.0 condBA=0.0735294117647059 supA=5.0 supB=68.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Lancashire", "dbo:Cricketer in c_e and 'born in Liverpool' in l_e(c,p,so) ", 
"born_liverpool","dbp:birthPlace Liverpool", "0.357142857142857", "e dbp:birthPlace Liverpool", "Cricketer", "Coherence=0.357142857142857 condAB=1.0 condBA=0.555555555555556 supA=5.0 supB=9.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Liverpool", "dbo:Cricketer in c_e and 'was born in Liverpool' in l_e(c,p,so) ", 
"born_liverpool","dbp:birthPlace England", "0.00418760469011725", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00418760469011725 condAB=1.0 condBA=0.00420521446593776 supA=5.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and 'born in Liverpool' in l_e(c,p,so) ", 
"born_liverpool","dbp:birthPlace Lancashire", "0.0684931506849315", "e dbp:birthPlace Lancashire", "Cricketer", "Coherence=0.0684931506849315 condAB=1.0 condBA=0.0735294117647059 supA=5.0 supB=68.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Lancashire", "dbo:Cricketer in c_e and ' was born in Liverpool, ' in l_e(c,p,so) ", 
"born_liverpool","dbp:birthPlace Liverpool", "0.357142857142857", "e dbp:birthPlace Liverpool", "Cricketer", "Coherence=0.357142857142857 condAB=1.0 condBA=0.555555555555556 supA=5.0 supB=9.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Liverpool", "dbo:Cricketer in c_e and ' was born in Liverpool, ' in l_e(c,p,so) ", 
"born_liverpool","dbp:birthPlace England", "0.00418760469011725", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00418760469011725 condAB=1.0 condBA=0.00420521446593776 supA=5.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and ' was born in Liverpool, ' in l_e(c,p,so) ", 
"born_newcastle_under_lyme","dbp:club Staffordshire_County_Cricket_Club", "0.0806451612903226", "e dbp:club Staffordshire_County_Cricket_Club", "Cricketer", "Coherence=0.0806451612903226 condAB=1.0 condBA=0.087719298245614 supA=5.0 supB=57.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Staffordshire_County_Cricket_Club", "dbo:Cricketer in c_e and 'born in Newcastle-under-Lyme' in l_e(c,p,so) ", 
"born_newcastle_under_lyme","dbp:club Staffordshire_County_Cricket_Club", "0.0806451612903226", "e dbp:club Staffordshire_County_Cricket_Club", "Cricketer", "Coherence=0.0806451612903226 condAB=1.0 condBA=0.087719298245614 supA=5.0 supB=57.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Staffordshire_County_Cricket_Club", "dbo:Cricketer in c_e and ' was born in Newcastle-under-Lyme, ' in l_e(c,p,so) ", 
"born_nottingham","dbp:birthPlace Nottingham", "0.208333333333333", "e dbp:birthPlace Nottingham", "Cricketer", "Coherence=0.208333333333333 condAB=1.0 condBA=0.263157894736842 supA=5.0 supB=19.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Nottingham", "dbo:Cricketer in c_e and 'was born at Nottingham' in l_e(c,p,so) ", 
"born_nottingham","dbp:birthPlace Nottinghamshire", "0.078125", "e dbp:birthPlace Nottinghamshire", "Cricketer", "Coherence=0.078125 condAB=1.0 condBA=0.0847457627118644 supA=5.0 supB=59.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Nottinghamshire", "dbo:Cricketer in c_e and 'born in Nottingham' in l_e(c,p,so) ", 
"born_nottingham","dbp:birthPlace England", "0.00418760469011725", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00418760469011725 condAB=1.0 condBA=0.00420521446593776 supA=5.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and 'born at Nottingham' in l_e(c,p,so) ", 
"born_nottingham","dbp:club Nottinghamshire_County_Cricket_Club", "0.0437956204379562", "e dbp:club Nottinghamshire_County_Cricket_Club", "Cricketer", "Coherence=0.0437956204379562 condAB=1.0 condBA=0.0458015267175573 supA=6.0 supB=131.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Nottinghamshire_County_Cricket_Club", "dbo:Cricketer in c_e and 'was born at Nottingham' in l_e(c,p,so) ", 
"born_nottingham","dbp:birthPlace Nottingham", "0.208333333333333", "e dbp:birthPlace Nottingham", "Cricketer", "Coherence=0.208333333333333 condAB=1.0 condBA=0.263157894736842 supA=5.0 supB=19.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Nottingham", "dbo:Cricketer in c_e and ' was born in Nottingham, ' in l_e(c,p,so) ", 
"born_nottingham","dbp:birthPlace Nottinghamshire", "0.078125", "e dbp:birthPlace Nottinghamshire", "Cricketer", "Coherence=0.078125 condAB=1.0 condBA=0.0847457627118644 supA=5.0 supB=59.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Nottinghamshire", "dbo:Cricketer in c_e and ' was born in Nottingham, ' in l_e(c,p,so) ", 
"born_nottingham","dbp:birthPlace England", "0.00418760469011725", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00418760469011725 condAB=1.0 condBA=0.00420521446593776 supA=5.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and ' was born at Nottingham, ' in l_e(c,p,so) ", 
"born_nottingham","dbp:club Nottinghamshire_County_Cricket_Club", "0.0437956204379562", "e dbp:club Nottinghamshire_County_Cricket_Club", "Cricketer", "Coherence=0.0437956204379562 condAB=1.0 condBA=0.0458015267175573 supA=6.0 supB=131.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Nottinghamshire_County_Cricket_Club", "dbo:Cricketer in c_e and ' was born at Nottingham, ' in l_e(c,p,so) ", 
"born_oxford","dbp:birthPlace England", "0.00585284280936455", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00585284280936455 condAB=1.0 condBA=0.00588730025231287 supA=7.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and 'born in Oxford' in l_e(c,p,so) ", 
"born_oxford","dbp:birthPlace Oxford", "0.411764705882353", "e dbp:birthPlace Oxford", "Cricketer", "Coherence=0.411764705882353 condAB=1.0 condBA=0.7 supA=7.0 supB=10.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Oxford", "dbo:Cricketer in c_e and 'was born in Oxford' in l_e(c,p,so) ", 
"born_oxford","dbp:birthPlace Oxfordshire", "0.21875", "e dbp:birthPlace Oxfordshire", "Cricketer", "Coherence=0.21875 condAB=1.0 condBA=0.28 supA=7.0 supB=25.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Oxfordshire", "dbo:Cricketer in c_e and 'born in Oxford' in l_e(c,p,so) ", 
"born_oxford","dbp:club Oxfordshire_County_Cricket_Club", "0.09375", "e dbp:club Oxfordshire_County_Cricket_Club", "Cricketer", "Coherence=0.09375 condAB=1.0 condBA=0.103448275862069 supA=6.0 supB=58.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Oxfordshire_County_Cricket_Club", "dbo:Cricketer in c_e and 'was born in Oxford' in l_e(c,p,so) ", 
"born_oxford","dbp:birthPlace England", "0.00585284280936455", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00585284280936455 condAB=1.0 condBA=0.00588730025231287 supA=7.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and ' was born in Oxford, ' in l_e(c,p,so) ", 
"born_oxford","dbp:birthPlace Oxford", "0.411764705882353", "e dbp:birthPlace Oxford", "Cricketer", "Coherence=0.411764705882353 condAB=1.0 condBA=0.7 supA=7.0 supB=10.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Oxford", "dbo:Cricketer in c_e and ' was born in Oxford, ' in l_e(c,p,so) ", 
"born_oxford","dbp:birthPlace Oxfordshire", "0.21875", "e dbp:birthPlace Oxfordshire", "Cricketer", "Coherence=0.21875 condAB=1.0 condBA=0.28 supA=7.0 supB=25.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Oxfordshire", "dbo:Cricketer in c_e and ' was born in Oxford, ' in l_e(c,p,so) ", 
"born_oxford","dbp:club Oxfordshire_County_Cricket_Club", "0.09375", "e dbp:club Oxfordshire_County_Cricket_Club", "Cricketer", "Coherence=0.09375 condAB=1.0 condBA=0.103448275862069 supA=6.0 supB=58.0", "NN", "Coherence", "e", "http://dbpedia.org/property/club", "http://dbpedia.org/resource/Oxfordshire_County_Cricket_Club", "dbo:Cricketer in c_e and ' was born in Oxford, ' in l_e(c,p,so) ", 
"born_shrewsbury","dbp:birthPlace England", "0.00502092050209205", "e dbp:birthPlace England", "Cricketer", "Coherence=0.00502092050209205 condAB=1.0 condBA=0.00504625735912532 supA=6.0 supB=1189.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/England", "dbo:Cricketer in c_e and 'born in Shrewsbury' in l_e(c,p,so) ", 
"born_shrewsbury","dbp:birthPlace Shropshire", "0.272727272727273", "e dbp:birthPlace Shropshire", "Cricketer", "Coherence=0.272727272727273 condAB=1.0 condBA=0.375 supA=6.0 supB=16.0", "NN", "Coherence", "e", "http://dbpedia.org/property/birthPlace", "http://dbpedia.org/resource/Shropshire", "dbo:Cricketer in c_e and 'was born in Shrewsbury' in l_e(c,p,so) ", 
